1 epoch, LR 0.001000, LOSS 15.742331, ACC 0.00%, EER 14.18%, bestEER 14.18%
2 epoch, LR 0.000970, LOSS 13.660318, ACC 0.00%, EER 14.51%, bestEER 14.18%
3 epoch, LR 0.000941, LOSS 12.478171, ACC 0.00%, EER 14.42%, bestEER 14.18%
4 epoch, LR 0.000913, LOSS 11.768756, ACC 0.00%, EER 14.07%, bestEER 14.07%
5 epoch, LR 0.000885, LOSS 11.242881, ACC 0.00%, EER 13.48%, bestEER 13.48%
6 epoch, LR 0.000859, LOSS 10.746526, ACC 0.00%, EER 12.81%, bestEER 12.81%
7 epoch, LR 0.000833, LOSS 10.212717, ACC 0.04%, EER 11.86%, bestEER 11.86%
8 epoch, LR 0.000808, LOSS 9.601232, ACC 0.15%, EER 10.96%, bestEER 10.96%
9 epoch, LR 0.000784, LOSS 8.952279, ACC 0.57%, EER 10.10%, bestEER 10.10%
10 epoch, LR 0.000760, LOSS 8.337258, ACC 1.19%, EER 9.37%, bestEER 9.37%
11 epoch, LR 0.000737, LOSS 7.776974, ACC 2.36%, EER 9.09%, bestEER 9.09%
12 epoch, LR 0.000715, LOSS 7.278582, ACC 3.53%, EER 8.66%, bestEER 8.66%
13 epoch, LR 0.000694, LOSS 6.803566, ACC 5.13%, EER 8.40%, bestEER 8.40%
14 epoch, LR 0.000673, LOSS 6.398563, ACC 6.75%, EER 8.09%, bestEER 8.09%
15 epoch, LR 0.000653, LOSS 6.045645, ACC 8.06%, EER 7.85%, bestEER 7.85%
16 epoch, LR 0.000633, LOSS 5.703030, ACC 9.83%, EER 7.61%, bestEER 7.61%
17 epoch, LR 0.000614, LOSS 5.416059, ACC 11.68%, EER 7.48%, bestEER 7.48%
18 epoch, LR 0.000596, LOSS 5.135755, ACC 13.15%, EER 7.26%, bestEER 7.26%
19 epoch, LR 0.000578, LOSS 4.907371, ACC 14.66%, EER 7.19%, bestEER 7.19%
20 epoch, LR 0.000561, LOSS 4.686992, ACC 16.27%, EER 7.08%, bestEER 7.08%
21 epoch, LR 0.000544, LOSS 4.491628, ACC 17.71%, EER 7.01%, bestEER 7.01%
22 epoch, LR 0.000527, LOSS 4.316316, ACC 18.95%, EER 6.88%, bestEER 6.88%
23 epoch, LR 0.000512, LOSS 4.158079, ACC 20.54%, EER 6.75%, bestEER 6.75%
24 epoch, LR 0.000496, LOSS 4.012563, ACC 21.83%, EER 6.65%, bestEER 6.65%
25 epoch, LR 0.000481, LOSS 3.881457, ACC 22.76%, EER 6.61%, bestEER 6.61%
26 epoch, LR 0.000467, LOSS 3.765225, ACC 23.85%, EER 6.53%, bestEER 6.53%
27 epoch, LR 0.000453, LOSS 3.640428, ACC 24.98%, EER 6.49%, bestEER 6.49%
28 epoch, LR 0.000439, LOSS 3.548425, ACC 26.04%, EER 6.36%, bestEER 6.36%
29 epoch, LR 0.000426, LOSS 3.456177, ACC 27.13%, EER 6.36%, bestEER 6.36%
30 epoch, LR 0.000413, LOSS 3.365507, ACC 28.09%, EER 6.26%, bestEER 6.26%
31 epoch, LR 0.000401, LOSS 3.289906, ACC 28.94%, EER 6.18%, bestEER 6.18%
32 epoch, LR 0.000389, LOSS 3.205843, ACC 29.92%, EER 6.18%, bestEER 6.18%
33 epoch, LR 0.000377, LOSS 3.152828, ACC 30.40%, EER 6.16%, bestEER 6.16%
34 epoch, LR 0.000366, LOSS 3.090633, ACC 31.10%, EER 6.13%, bestEER 6.13%
35 epoch, LR 0.000355, LOSS 3.027716, ACC 31.60%, EER 6.14%, bestEER 6.13%
36 epoch, LR 0.000344, LOSS 2.975101, ACC 32.41%, EER 6.09%, bestEER 6.09%
37 epoch, LR 0.000334, LOSS 2.922786, ACC 33.26%, EER 6.17%, bestEER 6.09%
38 epoch, LR 0.000324, LOSS 2.875357, ACC 33.76%, EER 6.11%, bestEER 6.09%
39 epoch, LR 0.000314, LOSS 2.833131, ACC 33.99%, EER 6.08%, bestEER 6.08%
40 epoch, LR 0.000305, LOSS 2.791307, ACC 34.52%, EER 6.05%, bestEER 6.05%
41 epoch, LR 0.000296, LOSS 2.751091, ACC 35.28%, EER 6.03%, bestEER 6.03%
42 epoch, LR 0.000287, LOSS 2.706272, ACC 35.52%, EER 6.03%, bestEER 6.03%
43 epoch, LR 0.000278, LOSS 2.681314, ACC 36.03%, EER 5.94%, bestEER 5.94%
44 epoch, LR 0.000270, LOSS 2.641340, ACC 36.70%, EER 6.00%, bestEER 5.94%
45 epoch, LR 0.000262, LOSS 2.614928, ACC 36.86%, EER 5.94%, bestEER 5.94%
46 epoch, LR 0.000254, LOSS 2.587288, ACC 37.30%, EER 5.90%, bestEER 5.90%
47 epoch, LR 0.000246, LOSS 2.558007, ACC 37.77%, EER 5.94%, bestEER 5.90%
48 epoch, LR 0.000239, LOSS 2.537568, ACC 37.80%, EER 5.93%, bestEER 5.93%
49 epoch, LR 0.000232, LOSS 2.510727, ACC 38.28%, EER 5.85%, bestEER 5.85%
50 epoch, LR 0.000225, LOSS 2.485704, ACC 38.51%, EER 5.87%, bestEER 5.85%
